doi,experiment_id,is_polymer_blend,polymer(s),polymer_components,is_solvent_blend,solvent(s),solvent_components,solution_concentration,solution_concentration_unit,solution_viscosity,solution_viscosity_unit,solution_surface_tension,solution_surface_tension_unit,solution_conductivity,solution_conductivity_unit,solution_evaporation_rate,solution_evaporation_rate_unit,needle_type,needle_definition,collector_type,collector_definition,voltage,voltage_unit,flow_rate,flow_rate_unit,tip_collector_distance,tip_collector_distance_unit,spinning_duration,spinning_duration_unit,temperature,temperature_unit,humidity,humidity_unit,was_formation_stable,process_instability,fiber_diameter,fiber_diameter_unit,fiber_diameter_variation,fiber_diameter_variation_unit,morphology,publication_title,is_custom_device,device_manufacturer,device_model,tensile_strength,tensile_strength_unit,modulus,modulus_unit,elongation_at_break,elongation_at_break_unit,fracture_behaviour,surface_area,surface_area_unit,porosity,porosity_unit,permeability,permeability_unit
https://doi.org/10.1016/j.jafr.2019.100015,1,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",15.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,12.0,kV,2.0,mL/h,6.0,cm,,,23.0,,45.0,%,True,,1346.0,nm,812.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,2,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",12.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,16.0,kV,2.0,mL/h,6.0,cm,,,23.0,,45.0,%,True,,488.0,nm,221.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,3,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",15.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,16.0,kV,2.0,mL/h,10.0,cm,,,23.0,,45.0,%,True,,823.0,nm,519.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,4,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",9.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,12.0,kV,2.0,mL/h,6.0,cm,,,23.0,,45.0,%,True,,452.0,nm,236.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,5,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",12.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,12.0,kV,2.0,mL/h,10.0,cm,,,23.0,,45.0,%,True,,801.0,nm,382.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,6,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",15.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,8.0,kV,2.0,mL/h,10.0,cm,,,23.0,,45.0,%,True,,749.0,nm,336.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,7,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",12.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,12.0,kV,2.0,mL/h,10.0,cm,,,23.0,,45.0,%,True,,666.0,nm,449.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,8,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",12.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,8.0,kV,2.0,mL/h,14.0,cm,,,23.0,,45.0,%,True,,977.0,nm,464.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,9,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",9.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,8.0,kV,2.0,mL/h,10.0,cm,,,23.0,,45.0,%,True,,404.0,nm,171.0,nm,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.jafr.2019.100015,10,False,CA,"[{""name"": ""CA""}]",False,ACETONE,"[{""name"": ""ACETONE""}]",12.0,wt%,,,,,,,,,Single Needle,"{""size"": 22.0, ""unit"": ""G""}",Flat,,16.0,kV,2.0,mL/h,14.0,cm,,,23.0,,45.0,%,True,,1104.0,nm,531.0,nm,,,,,,,,,,,,,,,,,,
